x,y,t
-67.48485867380292,34.80170613313159,p
-67.12427469786095,35.70563885839468,p
-67.14193201068427,35.71503137157589,p
-66.75634876140904,36.638946492020246,p
-66.57818684596049,37.453666526848515,p
-66.10228584485542,38.28733349405554,p
-65.74459047986112,39.113921084894514,p
-65.37658979012275,39.93737106287816,p
-65.11014227069525,40.748564066600245,p
-65.28815463727311,40.859971415304656,p
-64.78289842963886,41.877866123467825,p
-64.19934257654623,42.76709030012749,p
-63.85553363175726,43.72279639505595,p
-64.82714688098154,45.35874146481189,p
-36.28337443413359,6.987076618476492,o
-69.72233191010997,35.95281021733161,p
-69.71221892466643,35.964480850528965,p
-69.56332951859078,35.693297017137695,p
-69.50313440405135,35.76293538135358,p
-69.4525909706995,35.66852662279815,p
-68.81405767016474,36.22647210123231,p
-68.76277216067206,36.1189427331168,p
-69.11805350237854,35.48960721639633,p
-69.03684540800708,35.33901727804381,p
-69.33284917433669,34.620726746475825,p
-69.1630064161046,34.371632498208214,p
-68.99759438885928,34.19520615275037,p
-68.73022642751877,33.95368366718317,p
-67.90020057482957,34.451794071765605,p
-67.64547704922589,34.211319850574256,p
-67.44913352213887,34.04088153513132,p
-67.28561110230137,33.83258688687915,p
-66.73583285720063,34.320100161278575,p
-66.71767442876056,34.26546153835488,p
-66.74146771879137,34.23889221786517,p
-66.76048565116781,34.21762181802265,p
-66.70759418914969,34.14173095799052,p
-66.77110258375873,34.055348308308396,p
-66.90112221760239,33.84757588166762,p
-67.09254637334293,33.62779403412121,p
-67.38362354446332,33.24092405605096,p
-67.63237838276892,32.9120134829791,p
-67.7832771653427,32.522515285637965,p
-68.00222524792069,32.07309071104842,p
-67.61783599566382,31.26630886846712,p
-67.61217221342235,30.698055714760805,p
-67.5572390232414,30.187701473470145,p
-67.64158817522024,29.495351340638667,p
-67.57222301439806,28.93648104140519,p
-67.49898388544183,28.392875519321002,p
-67.40841511643822,27.831343036963908,p
-67.31115548450165,27.198402727626807,p
-67.21770620242978,26.641328526116773,p
-67.29260230212397,26.221106020321784,p
-67.27615681232129,25.6536199636783,p
-67.39468833092886,25.15977723272406,p
-67.4939325774819,24.767612616603067,p
-67.62974473800953,24.36265340810522,p
-67.73416515157808,23.836710538758183,p
-67.81317420814992,23.365496145721472,p
-68.06972269138217,22.614119347953825,p
-68.11647533325542,22.150232198576845,p
-68.20597663527228,21.723869645042857,p
-68.30471485669062,21.337751081466568,p
-68.36155812402103,20.96170474082161,p
-68.48144498773354,20.554974489016363,p
-68.45016817059707,20.055197398290755,p
-68.51968197267571,19.665801959792642,p
-68.587424902679,19.296959774935413,p
-68.65722339941473,18.911165815273257,p
-68.74531359715353,18.520723300094275,p
-68.84830158747027,18.041379830252225,p
-69.05075488112357,17.29344739786434,p
-69.13686628466384,16.98125858735933,p
-69.19628238717561,16.64267033790066,p
-69.3085566419179,16.25138124120165,p
-69.46255645034768,15.840182329747321,p
-69.55271456506705,15.5353809680104,p
-69.68178251429794,15.227606802318608,p
-69.75657945948291,14.918315193310104,p
-69.87049333929207,14.513154192534977,p
-70.01592589815402,14.175614142007506,p
-70.10556232580649,13.892871737097916,p
-70.1962903566225,13.591365651688015,p
-70.27549715793234,13.336249220493604,p
-70.40668043672443,12.770854575275028,p
-70.5251933669193,12.5453080075353,p
-70.60916969267892,12.270321820852313,p
-70.73748503203373,11.951989800765357,p
-70.87437524701963,11.620937078494393,p
-71.05694847523063,11.299865554691978,p
-71.18406999606276,10.99436364257869,p
-71.31909322523234,10.681844377219845,p
-71.41149607905933,10.363342262542353,p
-71.52824040533133,9.711397207597226,p
-71.61996476222211,9.26599828997846,p
-71.71245527835438,8.887242541143968,p
-71.8284180108239,8.563869924901459,p
-71.9607484535264,8.257896464227745,p
-72.0812663028334,7.918225240811532,p
-72.24789602890898,7.614839678025578,p
-72.49193996651482,7.309384060609194,p
-72.65334729074485,7.031510944849049,p
-72.82261253896179,6.7511132343024105,p
-72.93905055040466,6.424041576018709,p
-73.1517273349017,6.0602786985262025,p
-73.2728121980878,5.753547572787779,p
-73.41770960002864,5.144917074091055,p
-73.57330332945057,4.869601002984362,p
-73.6406277703549,4.499261678939807,p
-73.79140813948274,4.219495082479289,p
-73.94576027478524,3.8840470037480124,p
-74.09485494028333,3.632446693572928,p
-74.29175869081692,3.267019334467622,p
-74.48296043522896,2.9721383443659386,p
-74.6741299056776,2.6944324072572856,p
-74.86248768726507,2.407281797520583,p
-75.00390132237371,2.0818042002437593,p
-75.4139023870504,1.8215483661100222,p
-75.38819169754147,1.6303829744944869,p
-75.61410866225025,1.298408489884915,p
-78.39126578518307,0.6639535002530277,p
-78.8231519812191,0.3787616861749932,p
-78.78796795850181,0.15611553468785022,p
-81.5821483521157,-0.601466161764252,p
-84.23302012988978,-1.3556074610899467,p
-86.88563050858768,-2.09035584755562,p
-89.6173221868782,-2.8304035626854605,p
-92.26287482296308,-3.317385338221615,p
-95.0278381670776,-4.0915686384502505,p
-94.95307036346789,-4.480930163848602,p
-97.63951551665605,-5.32878110486542,p
-97.58738884780738,-5.585680309424231,p
-102.62363515912007,-6.8600424660412775,p
-102.54302434013053,-7.145201836702642,p
-102.4782121021227,-7.445732051653191,p
-102.41608892292668,-7.819576424793488,p
-102.46862927994347,-8.086291982974174,p
-102.43509522422349,-8.321739028398014,p
-102.52183297236711,-8.61000998379377,p
-102.48367253448993,-8.857336637430365,p
-102.5223225017446,-9.123499376699222,p
-102.57247518098568,-9.380987475169245,p
-102.66955939414743,-9.404959449530178,p
-102.76034270804686,-9.66145452121053,p
-102.68115053104677,-9.974533841152205,p
-102.71533440055852,-10.242885512048232,p
-102.78712365324546,-10.521899359617628,p
-102.786667916254,-10.757805912297254,p
-102.76651217655312,-11.063532676571455,p
-102.68691640400891,-11.241176557705998,p
-102.74477601072097,-11.257059438777315,p
-102.75138472611428,-11.458627700555322,p
-102.75087226367076,-11.683577689299462,p
-102.6786922931591,-11.938656297291082,p
-102.72125294413124,-12.189231657382916,p
-102.67704362092664,-12.377486168085106,p
